Os contabilistas são timorenses.	contabilista (mas pl)	Ser	Timor-Leste  (nacionalidade)
As arquitetas são são-tomenses.	arquitetas (fem pl)	Ser	São Tomé (nacionalidade)
A artista é guineense.	artista (fem)	Ser	Guiné-Bissau (nacionalidade)
Os desportistas são belgas.	desportistas (mas pl)	Ser	Bélgica (nacionalidade)
O banqueiro é alemão.	banqueiro (mas)	Ser	Alemanha (nacionalidade)
Os paquetes são angolanos.	paquetes (mas pl)	Ser	Angola (nacionalidade)
A biologista é brasileira.	biologista (fem)	Ser	Brasil (nacionalidade)
A empresária é cabo-verdiana.	empresária (fem)	Ser	Cabo Verde (nacionalidade)
O caixa é canadiano.	caixa (mas)	Ser	Canadá (nacionalidade)
O químico é chinês.	químico (mas)	Ser	China (nacionalidade)
A funcionária pública é egípcia.	funcionária pública (fem)	Ser	Egito (nacionalidade)
A palhaça é espanhola.	palhaça (fem)	Ser	Espanha (nacionalidade)
A engenheira informática é francesa.	engenheira informática (fem)	Ser	França (nacionalidade)
As deputadas são inglesas.	deputadas (fem pl)	Ser	Inglaterra (nacionalidade)
Os cozinheiros são japoneses.	cozinheiros (mas pl)	Ser	Japão (nacionalidade)
A dentista é moçambicana.	dentista (fem)	Ser	Moçambique (nacionalidade)
O designer é norte-americano.	designer (mas)	Ser	Estados Unidos (nacionalidade)
A realizadora é norueguesa.	realizadora (fem)	Ser	Noruega (nacionalidade)
A médica é portuguesa.	médica (fem)	Ser	Portugal (nacionalidade)
O doutor é russo.	doutor (mas)	Ser	Rússia (nacionalidade)
O motorista é timorense.	motorista (mas)	Ser	Timor-Leste (nacionalidade)
As funcionárias são são-tomenses.	funcionárias (fem pl)	Ser	São Tomé e Príncipe (nacionalidade)
As funcionárias são guineenses.	funcionárias (fem pl)	Ser	Guiné-Bissau (nacionalidade)
A engenheira é belga.	engenheira (fem)	Ser	Bélgica (nacionalidade)
As agricultoras são alemãs.	agricultoras (fem pl)	Ser	Alemanha (nacionalidade)
Os manequins da alta costura são angolanos.	manequins da alta costura (mas pl)	Ser	Angola (nacionalidade)
As aeromoças são brasileiras.	aeromoças (fem pl)	Ser	Brasil (nacionalidade)
As floristas são cabo-verdianas.	floristas (fem pl)	Ser	Cabo Verde (nacionalidade)
As jardineiras são canadianas.	jardineiras (fem pl)	Ser	Canadá (nacionalidade)
As cabeleireiras são chinesas.	cabeleireiras (fem pl)	Ser	China (nacionalidade)
A agente é egípcia.	agente (fem)	Ser	Egito (nacionalidade)
A juíza é espanhola.	juíza (fem)	Ser	Espanha (nacionalidade)
A jurista é francesa.	jurista (fem)	Ser	França (nacionalidade)
A advogada é inglesa.	advogada (fem)	Ser	Inglaterra (nacionalidade)
A comerciante é japonesa.	comerciante (fem)	Ser	Japão (nacionalidade)
A enfermeira é moçambicana.	enfermeira (fem)	Ser	Moçambique (nacionalidade)
A farmacêutica é norte-americana.	farmacêutica (fem)	Ser	Estados Unidos (nacionalidade)
A pianista é norueguesa.	pianista (fem)	Ser	Noruega (nacionalidade)
O piloto é português.	piloto (mas)	Ser	Portugal (nacionalidade)
O policial é russo.	policial (mas)	Ser	Rússia (nacionalidade)
O psicanalista é catalão.	psicanalista (mas)	Ser	Catalunha (nacionalidade)
A réporter é catalã.	réporter (fem)	Ser	Catalunha (nacionalidade)
A secretária é espanhola.	secretária (fem)	Ser	Espanha (nacionalidade)
Os soldados são belgas.	soldados (mas pl)	Ser	Bélgica (nacionalidade)
A hospedeira é portuguesa.	hospedeira (fem)	Ser	Portugal (nacionalidade)
O taxista é brasileiro.	taxista (mas)	Ser	Brasil (nacionalidade)
A professora é alemã.	professora (fem)	Ser	Alemanha (nacionalidade)
O tradutor é angolano.	tradutor (mas)	Ser	Angola (nacionalidade)
As empregadas de mesa são brasileiras.	empregadas de mesa (fem pl)	Ser	Brasil (nacionalidade)
As empregadas de mesa são cabo-verdianas.	empregadas de mesa (fem pl)	Ser	Cabo Verde (nacionalidade)
Os operários são canadianos.	operários (mas pl)	Ser	Canadá (nacionalidade)
O escritor é chinês.	escritor (mas)	Ser	China (nacionalidade)
A instrutora de ioga é egípcia.	instrutora de ioga (fem)	Ser	Egito (nacionalidade)
Os senhores são espanhóis.	Senhores	Ser	Espanha (nacionalidade)
