Ela compra calções amarelos.	Ela	Comprar	Calções	Amarelo
Tu tens calças de ganga brancas.	Tu	Ter	Calças de ganga	Branco
Eu trago uma camisola roxa.	Eu	Trazer	Camisola	Roxo
Os rapazes usam biquinis lilases.	Rapazes	Usar	Biquini	Lilás
Vocês têm sandálias azuis.	Vocês	Ter	Sandálias	Azul
Nós usamos cachecóis verdes.	Nós	Usar	Cachecol	Verde
As crianças usam roupa quente.	Crianças	Usar	Roupa	Quente
Ele usa botas vermelhas.	Ele	Usar	Botas	Vermelho
Eles usam gabardinas beges.	Eles	Usar	Gabardina	Bege
Eu uso um colete.	Eu	Usar	Colete	
Eles têm sapatos.	Eles	Ter	Sapato	
Elas usam saias cor de laranja.	Elas	Usar	Saia	Cor de laranja
Os estudantes usam collants.	Estudantes	Usar	Collants	
Os rapazes usam peças de roupa.	Rapazes	Usar	Peças de roupa	
O cabelereiro usa uma camisa.	Cabelereiro	Usar	Camisa	
Os funcionários usam saltos.	Funcionários	Usar	Saltos	
O menino tem um boné.	Menino	Ter	Boné	
A menina tem um gorro quente.	Menina	Ter	Gorro	Quente
As raparigas usam bolsos.	Raparigas	Usar	Bolso	
