Vestido comprido com padraõ abstrato branco e preto	Vestido comprido com padraõ abstrato branco e preto. Sandálias brancas.	<img src="pt_Vestido comprido_Estampado_abstrato.JPG">	/vɨʃ.ˈti.du  kõ.ˈpɾi.du/   /i.vɐ.ˈzɛ/   /ʃ.tɐ̃.ˈpa.du/   /kõ  pɐ.dɾɐ.ˈõ  ɐbʃ.ˈtɾa.tu/   /ˈbɾɐ̃.ku  i  ˈpɾe.tu/	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Pessoas::Roupa::Vestidos_e_Saias
vestido comprido verde escuro	Vestido comprido verde escuro. Sandálias castanhas.	<img src="pt_Vestido comprido estilo camisa, cinto para atar, verde escuro.JPG">	/vɨʃ.ˈti.du  kõ.ˈpɾi.du/ <br>/ˈveɾ.dɨ  ʃ.ˈku.ɾu/	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Pessoas::Roupa::Vestidos_e_Saias
Vestido curto verde-pinho	Vestido curto verde-pinho. Sapatos pretos.	<img src="pt_Vestido evasé verde-pinho.JPG">	/vɨʃ.ˈti.du/&nbsp; &nbsp;/ˈkuɾ.tu/&nbsp; &nbsp;/i.vɐ.ˈzɛ/&nbsp; &nbsp;/ˈveɾ.dɨ-ˈpi.ɲu/	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Pessoas::Roupa::Vestidos_e_Saias
Vestido curto às riscas	Vestido curto às riscas. Ténis brancos.	<img src="pt_Vestido-camisola curto às riscas.JPG">	/vɨʃ.ˈti.du ˈkuɾ.tu /&nbsp; /ˈʁiʃ.kɐʃ/	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Pessoas::Roupa::Vestidos_e_Saias
O senhor veste uma T-shirt preta hoje.	O senhor veste uma T-shirt preta hoje.	El señor lleva una camiseta negra hoy.	<img src="_T_Shirt_preta.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
A senhora despe o casaco cinzento.	A senhora despe o casaco cinzento.	Usted (mujer) se quita el abrigo gris.	<img src="_casaco_cinzento.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Eu trago uma camisola roxa para a festa.	Eu trago uma camisola roxa para a festa.	Yo traigo un jersey morado para la fiesta.	<img src="_camisola_roxa.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Tu vestes calças de ganga brancas.	Tu vestes calças de ganga brancas.	Tú traes puestos pantalones vaqueros blancos.	<img src="_calcas_ganga_branca.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Ela veste calções amarelos para ir à praia.	Ela veste calções amarelos para ir à praia.	Ella se pone unos pantalones cortos (shorts) amarillos para ir a la playa.	<img src="_calcoes_amarelos.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Ela usa botas vermelhas sempre que vai ao campo.	Ela usa botas vermelhas sempre que vai ao campo.	Ella usa botas rojas siempre que va al campo.	<img src="_botas_vermelhas.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
