a varanda	varanda	a varanda	/ɐ vɐ.ˈɾɐ̃.dɐ/	/vɐ.ˈɾɐ̃dɐ/	sf		balcony						balcón							balcon					Balkon					balcó					balcone
a casa de banho	casa de banho	a casa de banho	/ɐ ˈka.zɐ dɨ ˈbɐ.ɲu/	/ˈka.zɐ dʒi ˈbɐ.ɲu/	sf		bathroom						baño							salle de bains					Badezimmer					bany					bagno
o quarto	quarto	o quarto	/u ˈkwaɾ.tu/	/ˈkwaʁ.tu/	sm		bedroom						cuarto							chambre					Schlafzimmer					dormitori					camera da letto
a garagem	garagem	a garagem	/ɐ gɐ.ˈɾa.ʒɐ̃j/	/ɡɐ.ˈɾa.ʒẽj/	sf		garage						garaje							garage					Garage					garatge					garage
a cozinha	cozinha	a cozinha	/ɐ ku.ˈzi.ɲɐ/	/ko.ˈzi.ɲɐ/	sf		kitchen						cocina							cuisine					Küche					cuina					cucina
a sala de estar	sala de estar	a sala de estar	/ɐ ˈsa.ɫɐ dɨ ʃ.ˈtaɾ/	/ˈsa.lɐ dʒi iʃ.ˈtaɾ/	sf		living room						salón							salon					Wohnzimmer					sala d'estar					soggiorno
a sala de jantar	sala de jantar	a sala de jantar	/ɐ ˈsa.ɫɐ dɨ ʒɐ̃.ˈtaɾ/	/ˈsa.lɐ dʒi ʒɐ̃.ˈtaɾ/	sf		dining room						comedor							salle à manger					Esszimmer					menjador					sala da pranzo
o telhado	telhado	o telhado	/u tɨ.ˈʎa.du/	/te.ˈʎa.du/	sm		roof						techo							toit					Dach					sostre					tetto
a divisão	divisão	a divisão	/ɐ dɨ.vi.ˈzɐ̃w/	/di.vi.ˈzɐ̃w̃/	sf		division						división							division					Abteilung					divisió					divisione
a kitchenette (cozinha aberta)	kitchenette (cozinha aberta)	a kitchenette (cozinha aberta)	/ɐ kit.ʃɨ.ˈnet.tɨ/ /ku.ˈzi.ɲɐ ɐ.ˈbeɾ.tɐ/	/ki.ʃi.ˈnɛ.tʃi (ko.ˈzi.ɲɐ a.ˈbɛɾ.tɐ)/	sf		kitchenette						cocina americana							kitchenette					Küchenzeile					cuina americana					cucina
o quintal	quintal	o quintal	/u kĩ.ˈtaɫ/	/kĩ.ˈtal/	sm		backyard						jardín							cour					Hinterhof					pati					cortile
o terraço	terraço	o terraço	/u tɨ.ˈʁa.su/	/te.ˈʁa.su/	sm		terrace						terraza							terrasse					Terrasse					terrassa					terrazzo
a marquise	marquise	a marquise	/ɐ maɾ.ˈki.zɨ/	/maɾ.ˈki.zi/	sf		awning						marquesina							marquise					Markise					marquesina					marquise
a sala	sala	a sala	/ɐ ˈsa.ɫɐ/	/ˈsa.lɐ/	sf		room						sala							salle					Zimmer					sala					sala
o escritório	escritório	o escritório	/u ʃ.kɾi.ˈtɔ.ɾi.u/	/es.kɾi.tu.ˈɾju/	sm		office						oficina							bureau					Büro					oficina					ufficio
o sotão	sotão	o sotão	/u su.ˈtɐ̃w/	/so.ˈtɐ̃w̃/	sm		attic						buhardilla							grenier					Dachboden					golfes					soffitta
a cave	cave	a cave	/ɐ ˈka.vɨ/	/ˈka.vɨ/	sf		basement						sótano							cave					Keller					soterrani					cantina
o chão	chão	o chão	/u ˈʃɐ̃w/	/ʃɐ̃w̃/	sm		floor						suelo							sol					Boden					terra					pavimento
o teto	teto	o teto	/u ˈte.tu/	/ˈte.tu/	sm		ceiling						techo							plafond					Decke					sostre					soffitto
as paredes	parede	as paredes	/ɐʃ pɐ.ˈɾe.dɨʃ/	/pa.ˈɾe.dʒi/	sf		wall						pared							mur					Wand					paret					parete
a casa	casa	a casa	/ɐ ˈka.zɐ/	/ˈka.za/	sf		house						casa							maison					Haus					casa					casa
a zona	zona	a zona	/ɐ ˈzo.nɐ/	/ˈzo.nɐ/	sf		area						zona							zone					Bereich					zona					zona
a cidade	cidade	a cidade	/ɐ si.ˈda.dɨ/	/si.ˈdadʒi/	sf		city						ciudad							ville					Stadt					ciutat					città
os edifícios	edifícios	os edifícios	/uz i.dɨ.ˈfi.sɨ.uʃ/	/e.dʒi.ˈfi.si.us/	smp		buildings						edificios							bâtiments					Gebäude					edificis					edifici
os vizinhos	vizinhos	os vizinhos	/uʒ vɨ.ˈzi.ɲuʃ/	/vi.ˈzi.ɲus/	smp		neighbors						vecinos							voisins					Nachbarn					veïns					vicini
o rés-do-chão	res do chão	o rés-do-chão	/u ˈʁɛʒ-du-ˈʃɐ̃w/	/ˌʁez du ˈʃɐ̃w̃/	sm		ground floor						planta baja							rez-de-chaussée					Erdgeschoss					planta baixa					pianterreno
o apartamento	apartamento	o apartamento	/u ɐ.paɾ.tɐ.ˈmẽ.tu/	/a.paɾ.ˈta.mẽ.tu/	sm		apartment						apartamento							appartement					Wohnung					apartament					appartamento
