O senhor veste t-shirt preta.	Senhor	Vestir	T-shirt	Preto
A senhora despe casaco cinzento.	Senhora	Despir	Casaco	Cinzento
Eu trago camisola roxa.	Eu	Trazer	Camisola	Roxo
Tu tens calças de ganga brancas.	Tu	Ter	Calças de ganga	Branco
Ela calça calções amarelos.	Ela	Calçar	Calções	Amarelo
Ele tem botas vermelhas.	Ele	Ter	Botas	Vermelho
Você tem vestido castanho.	Você	Ter	Vestido	Castanho
Nós temos cachecol verde.	Nós	Ter	Cachecol	Verde
Vocês têm sandálias azuis.	Vocês	Ter	Sandálias	Azul
Eles têm gabardina bege.	Eles	Ter	Gabardina	Bege
Elas têm saia cor de laranja.	Elas	Ter	Saia	Cor de laranja
A rapariga calça ténis cor-de-rosa.	Rapariga	Calçar	Ténis	Cor-de-rosa
O rapaz tem biquini lilás.	Rapaz	Ter	Biquini	Lilás
O menino tem boné comprido.	Menino	Ter	Boné	Comprida
A menina tem gorro curto.	Menina	Ter	Gorro	Curta
A criança usa meias de ganga.	Criança	Usar	Meias de ganga	
As crianças vestem roupa quente.	Crianças	Vestir	Roupa	Quente
As raparigas têm bolso cinzento.	Raparigas	Ter	Bolso	Cinzenta
Os rapazes têm peças de roupa roxas.	Rapazes	Ter	Peças de roupa	Roxa
Os estudantes usam collants brancos.	Estudantes	Usar	Collants	Branca
O cabeleireiro tem camisa amarela.	Cabelereiro	Ter	Camisa	Amarela
O funcionário calça sapato vermelho.	Funcionario	Calçar	Sapato	Vermelho
O namorado tem saltos castanhos.	Namorado	Ter	Saltos	Castanha
A namorada tem colete verde.	Namorada	Ter	Colete	Verde
As funcionárias têm blusão azul.	Funcionarias	Ter	Blusão	Azul
O sócio usa saia comprida bege.	Sócio	Usar	Saia comprida	Bege
A sócia usa minisaia cor de laranja.	Sócia	Usar	Minisaia	Cor de laranja
Os avôs têm kispo cor-de-rosa.	Avôs	Ter	Kispo	Cor-de-rosa
O vizinho tem sobretudo lilás.	Vizinho	Ter	Sobretudo	Lilás
A vizinha tem calças de ganga azuis.	Vizinha	Ter	Calças de ganga	Azul
A filha tem impermeável amarelho.	Filha	Ter	Impermeável	Amarelho
Os filhos têm fatos com padrão.	Filhos	Ter	Fato	Com padrão
O colega usa fato de treino às riscas.	Colega	Usar	Fato de treino	Às riscas
Os colegas usam fato de banho aos quadrados.	Colegas	Usar	Fato de banho	Aos cuadrados
O pai usa fato de dormir às bolinhas.	Pai	Usar	Fato de dormir	Às bolinhas
A mãe usa vestido de dormir.	Mãe	Usar	Vestido	Dormir
Ela usa sutiã.	Ela	Usar	Sutiã	
Ele usa cuecas.	Ele	Usar	Cuecas	
Ela usa oleado.	Ela	Usar	Oleado	
Ele usa ténis.	Ele	Usar	Ténis	
Ele usa fato de correr.	Ele	Usar	Fato	Correr
Ela usa chinelas.	Ela	Usar	Chinelas	
Ela usa calções.	Ela	Usar	Calções	
